"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-01",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"47",",,0","26",",,0","26",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-02",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"50",",,0","24",",,0","27",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-03",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"51",",,0","27",",,0","27",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-04",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"37",",,0","27",",,0","27",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-05",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"36",",,0","19",",,0","20",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-06",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"39",",,0","20",",,0","24",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-07",,,,,"0.09",",,0,0700","0.0",",,0","0.0",",,0",,,"42",",,0","24",",,0","28",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-08",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"28",",,0","14",",,0","14",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-09",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"28",",,0","12",",,0","12",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-10",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"34",",,0","12",",,0","12",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-11",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"41",",,0","12",",,0","20",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-12",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"53",",,0","20",",,0","22",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-13",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"53",",,0","22",",,0","26",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-14",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"60",",,0","26",",,0","42",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-15",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"54",",,0","42",",,0","46",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-16",,,,,"0.10",",,0,0700","0.0",",,0","0.0",",,0",,,"57",",,0","43",",,0","43",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-17",,,,,"0.58",",,0,0700","0.0",",,0","0.0",",,0",,,"47",",,0","30",",,0","30",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-18",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"59",",,0","30",",,0","32",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-19",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"63",",,0","32",",,0","61",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-20",,,,,"0.00","T,,0,0700","0.0",",,0","0.0",",,0",,,"72",",,0","60",",,0","61",",,0,0700",,,,,,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-21",,,,,"0.10",",,0,0700","0.0",",,0","0.0",",,0",,,"71",",,0","50",",,0","50",",,0,0700","    1",",,0","    1",",,0",,,,,,,,
"USC00416108","MOUNT PLEASANT, TX US","33.1688","-95.0055","129.5","2010-01-22",,,,,"0.00",",,0,0700","0.0",",,0","0.0",",,0",,,"62",",,0","34",",,0","35",",,0,0700",,,,,,,,,,,,
